lifetime,Filename,MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MaxPartialCharge,BCUT2D_MWHI,BCUT2D_MRLOW
-2.5251744024724747,p178,14.611642163101846,-0.3389347956303219,0.1107384387664871,0.3050259727471094,16.523047237937387,-0.1403551669279809
-3.104281946952121,p179,14.62134142848293,-0.3714141344732973,0.0462512675413384,0.3050259727471094,16.523061163423844,-0.1403583605960556
-5.005682847330363,p180,14.58386438532407,-0.3719926468699916,0.0998554347406184,0.3050259727471094,16.523058507888823,-0.1403576807160537
-0.4704104912408503,p182,13.664816007070526,-1.19655829483429,0.1056663474261587,0.33415856668867,16.533351869326903,-0.1486021433020982
3.0589857561884624,p183,12.149962932987965,-0.2883040640937253,0.2231296486006704,0.3053416147269585,16.526178763250567,-0.1409286307815036
-0.3832227421164321,p184,6.128184840995694,-0.1696765272849782,0.1172893154558016,0.1632651511299293,16.466839650923095,0.4089779158834053
1.3096054306702314,p186,5.520519482021362,-0.1036965048556406,0.1036965048556406,0.0487298379864323,16.46866937537665,0.163299832251573
1.073451775193443,p187,9.453950982617876,-0.2714382937707187,0.125943955301887,0.1232362229229326,16.503573291625187,0.1945062421686823
1.0932341103493088,p188,10.245966857028428,-0.2438033510133985,0.0119069722655797,0.1193852777129823,16.26998064159647,0.449672646263752
-0.966517176438106,p189,5.1288728164972754,-0.0927912469191332,0.0927912469191329,0.1402131142131626,15.274081903450956,-0.8624011236886854
1.349984047616584,p190,9.608968716229338,-0.1673574706384948,0.0283218456764156,0.0558120926659674,16.259015397996176,0.1557313245235101
-1.5109469487685177,p191,11.933489622056644,-1.0123171301265776,0.1808872406987487,0.337389937268524,16.36874191301191,0.0688044145215821
-3.754561365964233,p192,13.4741421381693,-0.2366572902372863,0.1100010819499004,0.2531776433451969,16.15133500416354,-0.8685655000677946
-0.395675784770063,p193,14.66615519849964,-0.2675873611484172,0.0245634869368356,0.2559561146127249,16.15552748528916,-0.8718657863838092
-0.9513375198295384,p194,14.071311596570853,-0.2920363969610906,0.1094108658761847,0.2557023956318514,16.47103555590681,0.0624543394432704
-2.902492461591422,p197,16.27411389326162,-4.074306645250694,0.4960865457294032,0.7369805924316878,126.91270462343012,-0.3631271570393143
-2.931457940176128,p198,16.274795918367346,-4.031756727135298,0.6005021730914588,0.7369642592306292,126.91270460546076,-0.3631221690709715
-2.8214480638801525,p199,16.281924130763414,-4.022199376417233,0.6205150363231715,0.7369646081162763,126.91372252090076,-0.3631220802478776
-3.044147797202318,p200,16.808116969009824,-4.106505574452001,0.6137094807676158,0.7369528797238345,126.91372261917088,-0.3628985393859565
-3.688419891489833,p201,16.15346682483177,-4.777857761242951,0.2008424141261438,0.7369755968159049,126.91372265348294,-0.3956038376404186
-2.86153435353217,p203,13.174501904220516,-0.7865044383226201,0.1995366322990779,0.3470995283553154,16.397561461130906,0.1027608696060555
-3.540078538119119,p205,13.665576321952797,-0.8746753986992879,0.2479009803134804,0.3470995283553609,16.397715520416483,0.0579448983001137
-0.476193769798076,p208,12.25142085537919,-0.2233544081212728,0.0442960869912218,0.1890331452931598,16.465307899709394,0.1041339265063886
-1.1614608417343748,p210,12.30633030990174,-0.2843981481481479,0.019311224489795,0.3400156252025527,16.544026904195334,-0.0172632408058899
2.044312249658699,p211,2.332777777777778,1.3010547891996307,1.3010547891996307,-0.0099018222453675,14.08491563112887,1.7766076540019549
2.5077985485942578,p212,2.298611111111111,1.3058158541194258,1.3058158541194258,-0.0099025474276806,14.051853238626316,1.7720988144234182
