Filename,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Lifetime
p1,1.5436728,0.0,1.4661007,0.0,0.0,0.0,0.0,0.0,0.0,1.315481,1.0476973,0.8976646,0.596849,0.0,0.0,0.0,0.0,0.38452548,0.0,0.0,0.0,0.0,0.41420293,0.050135136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7327522,-2.0211563
p2,0.87338376,0.0,0.8180251,0.0,0.0,0.0,0.0,0.0,0.0,1.0859194,0.70206267,0.5820821,0.29071158,0.0,0.0,0.0,0.0,0.15614241,0.0,0.0,0.0,0.0,0.14407909,0.0,0.5443034,0.048003256,0.0,0.0,0.0,0.10259727,0.0,0.45113236,-2.9935246
p3,0.38545012,0.0,0.5497377,0.0,0.0,0.0,0.0,0.0,0.0,0.5125294,0.7812931,0.7052015,0.47364902,0.0,0.0,0.0,0.0,0.25483608,0.0,0.0,0.0,0.0,0.48238754,0.62349176,0.0,0.0,0.0,0.0,0.0,0.007831603,0.0,0.5738821,-1.5617023
p4,1.0356762,0.0,1.6096046,0.0,0.0,0.0,0.0,0.0,0.0,0.597517,0.7190705,0.63479245,0.38248873,0.0,0.0,0.0,0.0,0.19743714,0.0,0.0,0.0,0.0,0.37637734,1.3629036,0.0,0.013862073,0.0,0.0,0.0,0.06937012,0.0,0.5015842,-2.8477144
p5,0.31180918,0.0,0.7058799,0.0,0.0,0.0,0.0,0.0,0.0,0.39760542,0.8195729,0.75129384,0.53739864,0.0,0.0,0.0,0.0,0.2936073,0.0,0.0,0.0,0.0,0.57616794,0.9531841,0.0,0.0,0.0,0.0,0.0,0.0,0.17155504,0.61952007,-3.9955368
p6,0.5742154,0.0,1.1245981,0.0,0.0,0.0,0.0,0.0,0.0,0.13073575,0.75452757,0.71473,0.5217563,0.0,0.0,0.0,0.0,0.27813473,0.0,0.0,0.0,0.0,0.62640834,1.203659,0.12577772,0.0,0.0,0.0,0.0,0.0,0.40885568,0.60268176,-0.098985836
p7,0.4630785,0.0,1.1094261,0.0,0.0,0.0,0.0,0.0,0.0,0.17513359,0.745348,0.7021245,0.48994184,0.0,0.0,0.0,0.0,0.25622234,0.0,0.0,0.0,0.03790897,0.58361447,1.3947439,0.0,0.0,0.0,0.0,0.0,0.013589919,0.30451775,0.57882833,-2.413065
p8,1.5208311,0.0,1.5070837,0.0,0.0,0.0,0.0,0.0,0.0,1.1649837,0.67137575,0.5491774,0.20724624,0.03018853,0.0,0.0,0.0,0.10841203,0.0,0.0,0.0,0.0,0.05076003,0.50176764,0.0,0.100942075,0.0,0.0,0.0,0.15078938,0.0,0.40293455,-0.75656
p9,2.3677754,0.0,2.0961776,0.0,0.0,0.0,0.0,0.0,0.0,1.7736342,1.0717305,0.89241385,0.5176424,0.0,0.0,0.0,0.0,0.36263812,0.0,0.0,0.0,0.0,0.21652198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71582776,-2.0941916
p10,2.5894125,0.0,2.2139766,0.0,0.0,0.0,0.0,0.0,0.0,1.9757817,1.1240373,0.93143964,0.52193826,0.0,0.0,0.0,0.0,0.37960035,0.0,0.0,0.0,0.0,0.17005694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428167,-2.5682368
p11,1.9061694,0.0,1.2681559,0.0,0.0,0.0,0.0,0.0,0.0,1.903296,1.0906385,0.8990435,0.51553476,0.0,0.0,0.0,0.0,0.36179507,0.0,0.0,0.0,0.0,0.17781079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71528465,-2.5844514
p12,0.0,0.41639328,0.07591963,0.0,0.41719198,0.34765458,0.0,0.9979506,0.31017327,0.0,0.0,0.0,0.0,0.82747144,0.21901983,0.5236469,0.31977546,0.0,0.0,0.0,0.562807,1.0942796,0.0,0.26284647,0.14180493,0.78226143,0.039968967,0.1239481,0.6284337,0.7671965,0.4606862,0.0,-1.3996737
p13,0.38944912,0.7827443,0.0,0.2500713,1.1707735,0.7119186,0.21381474,1.5497189,0.59909856,0.0,0.0,0.0,0.0,1.1149497,0.62111384,0.9546547,0.71557045,0.0,0.2887913,0.22534716,1.0675573,1.4508495,0.0,0.0,0.0,1.0216908,0.25435394,0.3036694,1.1853974,0.98312193,0.24202132,0.0,-3.6711721
p15,0.0,0.19061601,0.0,0.0,0.10311711,0.108441114,0.0,0.7603151,0.08875167,0.0,0.0,0.0,0.0,0.62172776,0.019198775,0.36020148,0.09911895,0.0,0.0,0.0,0.49970862,0.9288247,0.06077242,0.12139845,0.8355638,0.5976731,0.0,0.0,0.5106584,0.59812814,0.8723974,0.0,1.3506651
