id,job_1,job_2,job_3,lifetime,KK value,label
171,1.12E-04,1.48E-03,4.23E-04,496.277916,11.076272,warning-kk
173,2.35E+03,2.37E+03,1.04E+04,0.000066,7.769498,warning-kk
174,1.20E+01,1.86E+01,3.09E+00,0.029682,9.389881,warning-kk
177,6.59E-01,1.35E+00,4.42E+04,0.000023,12.36407,warning-kk
178,1.25E+01,9.80E+00,2.77E+00,0.039888,13.626985,warning-kk
179,5.86E-01,9.79E-01,6.05E-02,0.615195,12.944745,warning-kk
182,8.58E+02,2.54E+03,3.70E+03,0.000141,,
183,1.17E+00,6.43E-03,1.05E+00,0.44915,,
184,3.65E+00,1.23E-01,4.16E+00,0.126056,,
185,1.89E-01,4.75E+00,1.56E+01,0.048688,9.896356,warning-kk
186,6.99E-01,9.14E-03,8.40E-01,0.645936,,
187,2.86E+01,2.38E+00,3.20E-02,0.032246,,
188,6.06E+02,2.63E-01,2.53E+02,0.001164,,
189,1.78E+02,2.07E+01,4.05E+01,0.004181,,
190,4.09E-01,8.53E-03,5.25E+00,0.176444,,
191,1.85E+00,6.35E-02,1.16E+01,0.074,,
192,1.71E-02,3.39E-03,2.67E-01,3.478382,,
193,9.18E-02,1.46E-01,1.08E+00,0.75884,,
194,1.72E-01,4.84E-01,6.31E-01,0.777001,,
195,4.50E-01,1.65E-03,2.67E-01,1.391498,,
196,2.28E+00,3.58E-01,8.72E+00,0.088044,,
197,4.00E-02,2.23E-03,1.00E+00,0.959481,,
198,1.10E+01,1.42E+02,9.25E+02,0.000928,,
199,4.38E-02,1.03E+02,2.15E+00,0.009506,,
200,1.53E+01,3.48E-04,1.87E+01,0.029411,,
201,3.20E+02,1.03E+01,1.07E+00,0.003018,,
202,2.49E-02,9.43E-03,1.03E-02,22.406453,8.41796,warning-kk
203,5.83E-01,9.00E-03,6.41E-01,0.81103,7.820103,warning-kk
204,1.61E-02,5.12E-02,1.08E+01,0.092019,,
205,1.89E-04,7.73E-03,2.09E-02,34.69933,,
