id,job_1,job_2,job_3,lifetime,KK value,label,
150,1.66E-01,9.40E-02,4.92E-01,1.329787234,17.528537,warning-kk,
151,5.16E-01,1.40E-01,6.10E+00,0.148016578,6.968541,warning-kk,
152,1.25E+00,2.58E-01,4.45E+00,0.167841558,7.914263,warning-kk,
153,5.13E+00,7.65E-02,4.41E-02,0.190454424,27.951865,warning-kk,
154,2.66E-02,4.96E-03,7.53E-02,9.358038555,13.678655,warning-kk,
155,3.39E+02,6.80E+01,1.69E+02,0.001736111,7.418212,warning-kk,
156,3.25E-01,6.98E-01,7.97E+00,0.111197598,23.334315,warning-kk,
157,3.81E+01,4.49E+00,5.80E+01,0.009941346,9.583799,warning-kk,
158,6.73E-01,1.10E+00,4.36E-01,0.452693526,12.956642,warning-kk,
159,2.87E+00,3.39E+00,1.40E+01,0.049358342,11.587083,warning-kk,
162,2.65E+00,6.63E-02,2.09E+00,0.208060254,9.582111,warning-kk,
163,3.38E-02,4.40E-04,1.63E-02,19.78630787,9.402342,warning-kk,
164,4.36E+01,1.28E+01,5.68E+00,0.016108247,9.193986,warning-kk,
165,1.28E+00,4.48E-02,6.51E-01,0.506124102,9.749245,warning-kk,
166,9.12E-02,1.70E-03,4.18E-02,7.423904974,9.078693,warning-kk,
167,4.28E-01,2.69E-02,1.47E-01,1.6613984,9.813638,warning-kk,新增加
168,3.64E-01,8.38E-02,3.68E-01,1.225790635,10.372678,warning-kk,
172,3.79E+00,1.34E+00,1.40E-01,0.189753321,8.253517,warning-kk,
173,6.02E-01,3.61E-01,5.44E-01,0.663570007,8.67659,warning-kk,
175,1.48E+02,2.13E+01,3.96E+01,0.004786979,14.474565,warning-kk,
177,6.66E+03,1.27E+03,7.45E+01,0.00012493,8.878366,warning-kk,
178,8.54E+01,1.84E+02,6.57E+01,0.002984184,8.911485,warning-kk,
179,6.88E+02,5.29E+02,5.44E+01,0.000786535,8.309722,warning-kk,
180,2.65E+04,4.94E+04,2.54E+04,9.87E-06,,,
182,3.96E-01,3.08E-01,2.25E+00,0.338524035,28.348168,warning-kk,
183,3.59E-04,1.39E-04,3.75E-04,1145.475372,27.44318,warning-kk,
184,1.37E-02,9.30E-02,2.31E+00,0.413787396,11.267169,warning-kk,
186,1.77E-02,2.24E-05,3.13E-02,20.39883808,26.842209,warning-kk,
